Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
50.0,83.0,11.0,22.0,0.89,0.81,0.83,0.87,0.85,0.99,rightdown,right_yokomuki
48.0,88.0,11.0,19.0,0.89,0.81,0.83,0.88,0.85,0.99,rightdown,right_yokomuki

176.0,35.0,107.0,83.0,0.89,0.81,0.84,1.01,0.85,0.85,leftdown,aomuke
176.0,35.0,110.0,81.0,0.89,0.81,0.84,1.01,0.85,0.85,leftdown,aomuke
176.0,33.0,107.0,83.0,0.89,0.81,0.84,1.01,0.85,0.86,leftdown,aomuke
176.0,63.0,77.0,99.0,0.89,0.81,0.84,1.03,0.84,0.85,leftdown,left_yokomuki
176.0,63.0,79.0,96.0,0.89,0.81,0.84,1.02,0.85,0.85,leftdown,left_yokomuki
176.0,66.0,103.0,96.0,0.89,0.81,0.85,1.02,0.84,0.85,leftdown,left_yokomuki
176.0,63.0,112.0,46.0,0.89,0.81,0.84,0.99,0.85,0.85,leftdown,right_yokomuki
176.0,63.0,112.0,48.0,0.89,0.81,0.84,1.0,0.85,0.86,leftdown,right_yokomuki
176.0,63.0,105.0,46.0,0.89,0.81,0.84,1.0,0.85,0.85,leftdown,right_yokomuki

176.0,0.0,8.0,182.0,0.89,0.8,0.84,0.88,1.06,0.85,centerdown,aomuke
171.0,6.0,15.0,182.0,0.89,0.8,0.84,0.88,1.08,0.85,centerdown,aomuke
171.0,4.0,13.0,182.0,0.89,0.81,0.84,0.88,1.07,0.85,centerdown,aomuke
114.0,22.0,22.0,121.0,0.89,0.81,0.84,0.88,0.98,0.85,centerdown,left_yokomuki
114.0,22.0,17.0,114.0,0.89,0.81,0.84,0.88,0.98,0.85,centerdown,left_yokomuki
116.0,22.0,17.0,112.0,0.89,0.81,0.84,0.88,0.97,0.85,centerdown,left_yokomuki
125.0,22.0,28.0,149.0,0.89,0.81,0.84,0.88,0.99,0.85,centerdown,right_yokomuki
125.0,24.0,28.0,151.0,0.89,0.81,0.84,0.88,0.97,0.85,centerdown,right_yokomuki
121.0,24.0,28.0,143.0,0.89,0.81,0.84,0.88,0.98,0.85,centerdown,right_yokomuki

35.0,55.0,4.0,13.0,0.89,0.81,0.83,0.88,0.85,1.03,rightdown,aomuke
35.0,52.0,4.0,17.0,0.89,0.8,0.84,0.88,0.85,1.04,rightdown,aomuke
39.0,61.0,6.0,15.0,0.89,0.8,0.84,0.88,0.85,1.04,rightdown,aomuke
22.0,61.0,6.0,35.0,0.89,0.8,0.83,0.88,0.85,1.01,rightdown,left_yokomuki
26.0,63.0,6.0,28.0,0.89,0.8,0.83,0.88,0.85,1.02,rightdown,left_yokomuki
24.0,66.0,6.0,30.0,0.89,0.8,0.83,0.88,0.85,1.01,rightdown,left_yokomuki
8.0,33.0,2.0,66.0,0.89,0.8,0.83,0.88,0.85,0.99,rightdown,right_yokomuki
8.0,33.0,2.0,66.0,0.89,0.8,0.83,0.88,0.85,0.99,rightdown,right_yokomuki
8.0,30.0,2.0,66.0,0.89,0.8,0.83,0.88,0.85,0.99,rightdown,right_yokomuki
