Pressure1,Pressure2,Pressure3,Pressure4,AirPressure1,AirPressure2,AirPressure3,AirPressure4,AirPressure5,AirPressure6,HeadLocation,SleepPosition
8.0,11.0,33.0,85.0,0.89,0.8,0.85,0.87,1.08,0.85,centerdown,right_yokomuki
8.0,13.0,30.0,85.0,0.89,0.8,0.85,0.87,1.08,0.85,centerdown,right_yokomuki
6.0,11.0,33.0,88.0,0.89,0.8,0.85,0.87,1.08,0.85,centerdown,right_yokomuki

24.0,77.0,6.0,70.0,0.89,0.8,0.84,0.87,0.85,1.06,rightdown,aomuke
24.0,52.0,8.0,127.0,0.89,0.81,0.85,0.88,0.85,1.02,rightdown,aomuke
35.0,70.0,8.0,99.0,0.89,0.8,0.85,0.88,0.85,1.05,rightdown,left_yokomuki
35.0,72.0,8.0,94.0,0.89,0.8,0.85,0.87,0.85,1.06,rightdown,left_yokomuki
39.0,72.0,8.0,61.0,0.89,0.81,0.85,0.87,0.86,1.06,rightdown,left_yokomuki
2.0,2.0,17.0,19.0,0.89,0.8,0.85,0.88,0.85,0.86,rightdown,right_yokomuki
0.0,2.0,13.0,17.0,0.89,0.81,0.85,0.88,0.85,0.86,rightdown,right_yokomuki

68.0,22.0,74.0,59.0,0.89,0.8,0.86,0.95,0.94,0.86,leftdown,aomuke
55.0,22.0,83.0,48.0,0.89,0.81,0.86,0.94,0.93,0.86,leftdown,aomuke
30.0,81.0,215.0,81.0,0.89,0.81,0.86,0.97,0.86,0.86,leftdown,left_yokomuki
30.0,17.0,211.0,83.0,0.89,0.8,0.86,0.98,0.86,0.86,leftdown,left_yokomuki
4.0,13.0,250.0,46.0,0.89,0.8,0.85,0.92,0.85,0.86,leftdown,right_yokomuki
6.0,13.0,239.0,44.0,0.89,0.8,0.85,0.93,0.85,0.86,leftdown,right_yokomuki

0.0,30.0,92.0,13.0,0.89,0.8,0.85,0.87,1.02,0.87,centerdown,aomuke
13.0,30.0,92.0,0.0,0.89,0.8,0.85,0.87,1.02,0.87,centerdown,aomuke
15.0,46.0,88.0,52.0,0.89,0.8,0.86,0.87,1.0,0.88,centerdown,left_yokomuki
26.0,35.0,85.0,66.0,0.89,0.8,0.86,0.87,0.98,0.88,centerdown,left_yokomuki
13.0,0.0,198.0,61.0,0.89,0.8,0.85,0.89,0.92,0.86,centerdown,right_yokomuki
61.0,6.0,118.0,83.0,0.89,0.81,0.85,0.9,1.03,0.85,centerdown,right_yokomuki

